# adjective | str. infl. nom. masculine | str. infl. nom. feminine | str. infl. nom. neutral | str. infl. nom. plural | str. infl. gen. masculine | str. infl. gen. feminine | str. infl. gen. neutral | str. infl. gen. plural | str. infl. dat. masculine | str. infl. dat. feminine | str. infl. dat. neutral | str. infl. dat. plural | str. infl. acc. masculine | str. infl. acc. feminine | str. infl. acc. neutral | str. infl. acc. plural | weak infl. nom. masculine | weak infl. nom. feminine | weak infl. nom. neutral | weak infl. nom. plural | weak infl. gen. masculine | weak infl. gen. feminine | weak infl. gen. neutral | weak infl. gen. plural | weak infl. dat. masculine | weak infl. dat. feminine | weak infl. dat. neutral | weak infl. dat. plural | weak infl. acc. masculine | weak infl. acc. feminine | weak infl. acc. neutral | weak infl. acc. plural | mixed infl. nom. masculine | mixed infl. nom. feminine | mixed infl. nom. neutral | mixed infl. nom. plural | mixed infl. gen. masculine | mixed infl. gen. feminine | mixed infl. gen. neutral | mixed infl. gen. plural | mixed infl. dat. masculine | mixed infl. dat. feminine | mixed infl. dat. neutral | mixed infl. dat. plural | mixed infl. acc. masculine | mixed infl. acc. feminine | mixed infl. acc. neutral | mixed infl. acc. plural | predicative masculine | predicative feminine | predicative neutral | predicative plural | translations (comma-separated) | topics (comma-separated)
früher | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | раньше,early,earlier | A1,Время
kulturell | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | cultural,культурный | A1,Хобби и привычки
günstig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | cheap,favorable,выгодный по цене,недорогой | A1,Покупки и одежда
billig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | fitting,cheap,дешевый,дешево | A1,Покупки и одежда
teuer | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | expensive,dear | A1,Покупки и одежда
ausländisch | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | foreign,иностранный | A1,Путешествия
eilig | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | спешный,hasty,urgent | A1,Путешествия
frei | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | свободно,свободный,free,liberated,naked,single,unmarried | A1,Транспорт и техника
langsam | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | slow,slowly,медленный | A1,Транспорт и техника
schnell | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | fast,quick,rapid,быстрый | A1,Транспорт и техника
automatisch | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | - | automatic,automatically,автоматически | A1,Транспорт и техника
