# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
F | Dusche | Dusche | Dusche | Dusche | Duschen | Duschen | Duschen | Duschen | Shower,Douche,Spray,Affusion,Душ | A1,Дом
M | Balkon | Balkons | Balkon | Balkon | Balkons/Balkone | Balkons/Balkone | Balkons/Balkonen | Balkons/Balkone | Balcony,Балкон | A1,Дом
F | Küche | Küche | Küche | Küche | Küchen | Küchen | Küchen | Küchen | Kitchen,Table,Kitchen staff,Кухня | A1,Дом
F | Toilette | Toilette | Toilette | Toilette | Toiletten | Toiletten | Toiletten | Toiletten | Toilet,Rest room,Туалет | A1,Дом
F | Reparatur | Reparatur | Reparatur | Reparatur | Reparaturen | Reparaturen | Reparaturen | Reparaturen | Repair,Mending,Repairing,Reparation,Починка,Ремонт | A1,Дом
M | Anschluss | Anschlusses | Anschluss/Anschlusse | Anschluss | Anschlüsse | Anschlüsse | Anschlüssen | Anschlüsse | Connection,Alignment,Подключение | A1,Дом
N | Möbel | Möbels | Möbel | Möbel | Möbel/Möbeln | Möbel/Möbeln | Möbeln/Möbeln | Möbel/Möbeln | Item,Furniture,Мебель | A1,Мебель и интерьер
N | Bett | Bettes/Betts | Bett/Bette | Bett | Betten | Betten | Betten | Betten | Bed,Rack,Runway,Кровать | A1,Мебель и интерьер
N | Sofa | Sofas | Sofa | Sofa | Sofas | Sofas | Sofas | Sofas | Sofa,Couch,Lounge,Диван | A1,Мебель и интерьер
M | Tisch | Tisches/Tischs | Tisch/Tische | Tisch | Tische | Tische | Tischen | Tische | Desk,Стол,Table | A1,Мебель и интерьер
N | Bild | Bildes/Bilds | Bild/Bilde | Bild | Bilder | Bilder | Bildern | Bilder | Picture,Photo,Image,Idea,Sight,Drawing,Pattern,Картина | A1,Мебель и интерьер
F | Uhr | Uhr | Uhr | Uhr | Uhren | Uhren | Uhren | Uhren | Hour,Clock,Watch,Gauge,Часы | A1,Мебель и интерьер
M | Schlüssel | Schlüssels | Schlüssel | Schlüssel | Schlüssel | Schlüssel | Schlüsseln | Schlüssel | Key,Wrench,Spanner,Clue,Code,Ключ | A1,Мебель и интерьер
M | Schrank | Schrankes/Schranks | Schrank/Schranke | Schrank | Schränke | Schränke | Schränken | Schränke | Cupboard,Closet,Cabinet,Wardrobe,Шкаф | A1,Мебель и интерьер
M | Kühlschrank | Kühlschrankes/Kühlschranks | Kühlschrank/Kühlschranke | Kühlschrank | Kühlschränke | Kühlschränke | Kühlschränken | Kühlschränke | Refrigerator,Fridge,Холодильник,Ice box | A1,Мебель и интерьер
M | Herd | Herdes/Herds | Herd/Herde | Herd | Herde | Herde | Herden | Herde | Stove,Herth,Hotbed,Cooker,Кухонная плита | A1,Мебель и интерьер
N | Licht | Lichtes/Lichts | Licht/Lichte | Licht | Lichter | Lichter | Lichtern | Lichter | Light,Candle,Daylight,Illumination,Свет | A1,Мебель и интерьер
N | Hobby | Hobbys | Hobby | Hobby | Hobbys | Hobbys | Hobbys | Hobbys | Хобби,Hobby,Avocation | A1,Хобби и привычки
F | Freizeit | Freizeit | Freizeit | Freizeit | Freizeiten | Freizeiten | Freizeiten | Freizeiten | time off,free time,leisure,свободное время | A1,Хобби и привычки
N | Buch | Buches/Buchs | Buch/Buche | Buch | Bücher | Bücher | Büchern | Bücher | Книга,Book,Colume,Ledger | A1,Хобби и привычки
F | Zeitung | Zeitung | Zeitung | Zeitung | Zeitungen | Zeitungen | Zeitungen | Zeitungen | News,Газета,Newspaper | A1,Хобби и привычки
M | Film | Filmes/Films | Film/Filme | Film | Filme | Filme | Filmen | Filme | Movie,Photographic film,Фильм | A1,Хобби и привычки
N | Kino | Kinos | Kino | Kino | Kinos | Kinos | Kinos | Kinos | Movie theatre,Cinema,Кинотеатр | A1,Хобби и привычки
M | Garten | Gartens | Garten | Garten | Gärten | Gärten | Gärten | Gärten | Garden,Сад | Хобби и привычки,A1
